Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0.122	0.216	-1.024	-0.168	-1.024	-0.136	-1.024	-0.32	-1.024	-1.024	-1.024
0.124	-0.096	-1.024	-0.232	-1.024	-0.32	-1.024	-0.288	-1.024	-1.024	-1.024
0.126	-1.024	-1.024	-0.192	-1.024	-0.28	-1.024	0	-1.024	-1.024	-1.024
0.128	-1.024	-1.024	-0.112	-1.024	-0.072	-1.024	0.152	-1.024	-1.024	-1.024
0.13	-1.024	-1.024	0.104	-1.024	0.192	-1.024	0.312	-1.024	-1.024	-1.024
0.132	-1.024	-1.024	0.224	-1.024	0.296	-1.024	0.304	-1.024	-1.024	-1.024
0.134	-1.024	-1.024	0.28	-1.024	0.312	-0.264	0.096	-1.024	-1.024	-1.024
0.136	-1.024	-1.024	0.152	-1.024	0.112	-0.232	-0.112	-1.024	-1.024	-1.024
0.138	-1.024	-1.024	0	-1.024	-0.136	-0.008	-0.248	-1.024	-1.024	-1.024
0.14	-1.024	-1.024	-0.216	-1.024	-0.28	0.192	-0.264	-1.024	-1.024	-1.024
0.142	-1.024	-1.024	-0.344	-1.024	-0.312	0.24	-0.048	-1.024	-1.024	-1.024
0.144	-1.024	-1.024	-0.16	-1.024	-0.152	0.288	0.12	-1.024	-1.024	-1.024
0.146	-1.024	-1.024	0.144	-1.024	0.144	0.072	0.216	-1.024	-1.024	-1.024
0.148	-1.024	-1.024	0.264	-1.024	0.296	-0.08	0.32	-1.024	-1.024	-1.024
0.15	-1.024	-1.024	0.352	-1.024	0.312	-0.264	0.152	-1.024	-1.024	-1.024
0.152	-1.024	-1.024	0.168	-1.024	0.2	-0.264	-0.064	-1.024	-1.024	-1.024
0.154	-1.024	-1.024	-0.008	-1.024	-0.064	-0.088	-0.296	-1.024	-1.024	-1.024
0.156	-1.024	-1.024	-0.24	-1.024	-0.28	0.096	-0.304	-1.024	-1.024	-1.024
0.158	-1.024	-1.024	-0.344	-1.024	-0.424	0.2	-0.16	-1.024	-1.024	-1.024
0.16	-1.024	-1.024	-0.296	-1.024	-0.264	0.24	0.088	-1.024	-1.024	-1.024
0.162	-1.024	-1.024	0.04	-1.024	0	0.12	0.272	-1.024	-1.024	-1.024
0.164	-1.024	-1.024	0.272	-1.024	0.248	-0.048	0.272	-1.024	-1.024	-1.024
0.166	-1.024	-1.024	0.328	-1.024	0.336	-0.28	0.224	-1.024	-1.024	-1.024
0.168	-1.024	-1.024	0.28	-1.024	0.312	-0.32	0.016	-1.024	-1.024	-1.024
0.17	-1.024	-1.024	0.088	-1.024	0.088	-0.136	-0.16	-1.024	-1.024	-1.024
0.172	-1.024	-1.024	-0.136	-1.024	-0.176	0.08	-0.336	-1.024	-1.024	-1.024
0.174	-1.024	-1.024	-0.32	-1.024	-0.368	0.224	-0.256	-1.024	-1.024	-1.024
0.176	-1.024	-1.024	-0.304	-1.024	-0.344	0.248	-0.008	-1.024	-1.024	-1.024
0.178	-1.024	-1.024	-0.112	-1.024	-0.088	0.192	0.168	-1.024	-1.024	-1.024
0.18	-1.024	-1.024	0.24	-1.024	0.16	0.016	0.368	-1.024	-1.024	-1.024
0.182	-1.024	-1.024	0.288	-1.024	0.272	-0.208	0.296	-1.024	-1.024	-1.024
0.184	-1.024	-1.024	0.336	-1.024	0.272	-0.344	0.168	-1.024	-1.024	-1.024
0.186	-1.024	-1.024	0.144	-1.024	0.12	-0.224	-0.112	-1.024	-1.024	-1.024
0.188	-1.024	-1.024	-0.08	-1.024	-0.128	0.024	-0.304	-1.024	-1.024	-1.024
0.19	-1.024	-1.024	-0.296	-1.024	-0.328	0.168	-0.32	-1.024	-1.024	-1.024
0.192	-1.024	-1.024	-0.288	-1.024	-0.424	0.304	-0.168	-1.024	-1.024	-1.024
0.194	-1.024	-1.024	-0.2	-1.024	-0.208	0.272	0.152	-1.024	-1.024	-1.024
0.196	-1.024	-1.024	0.144	-1.024	0.088	0.112	0.248	-1.024	-1.024	-1.024
0.198	-1.024	-1.024	0.296	-1.024	0.24	-0.112	0.352	-1.024	-1.024	-1.024
0.2	-1.024	-1.024	0.328	-1.024	0.296	-0.32	0.144	-1.024	-1.024	-1.024
0.202	-1.024	-1.024	0.248	-1.024	0.16	-0.304	-0.064	-1.024	-1.024	-1.024
0.204	-1.024	-1.024	0.008	-1.024	0.056	-0.088	-0.256	-1.024	-1.024	-1.024
0.206	-1.024	-1.024	-0.216	-1.024	-0.296	0.144	-0.336	-1.024	-1.024	-1.024
0.208	-1.024	-1.024	-0.304	-1.024	-0.392	0.256	-0.264	-1.024	-1.024	-1.024
0.21	-1.024	-1.024	-0.288	-1.024	-0.24	0.272	0.072	-1.024	-1.024	-1.024
0.212	-1.024	-1.024	-0.016	-1.024	0.032	0.136	0.28	-1.024	-1.024	-1.024
0.214	-1.024	-1.024	0.152	-1.024	0.248	-0.072	0.304	-1.024	-1.024	-1.024
0.216	-1.024	-1.024	0.208	-1.024	0.272	-0.24	0.296	-1.024	-1.024	-1.024
0.218	-1.024	-1.024	0.344	-1.024	0.28	-0.344	0.032	-1.024	-1.024	-1.024
0.22	-1.024	-1.024	0.168	-1.024	0.088	-0.136	-0.152	-1.024	-1.024	-1.024
0.222	-1.024	-1.024	-0.16	-1.024	-0.152	0.056	-0.296	-1.024	-1.024	-1.024
0.224	-1.024	-1.024	-0.344	-1.024	-0.32	0.168	-0.256	-1.024	-1.024	-1.024
0.226	-1.024	-1.024	-0.2	-1.024	-0.32	0.336	-0.112	-1.024	-1.024	-1.024
0.228	-1.024	-1.024	-0.128	-1.024	-0.088	0.216	0.2	-1.024	-1.024	-1.024
0.23	-1.024	-1.024	0.04	-1.024	0.12	0	0.296	-1.024	-1.024	-1.024
0.232	-1.024	-1.024	0.416	-1.024	0.248	-0.16	0.296	-1.024	-1.024	-1.024
0.234	-1.024	-1.024	0.344	-1.024	0.248	-0.256	0.112	-1.024	-1.024	-1.024
0.236	-1.024	-1.024	0.328	-1.024	0.16	-0.224	-0.072	-1.024	-1.024	-1.024
0.238	-1.024	-1.024	-0.112	-1.024	-0.104	0.024	-0.32	-1.024	-1.024	-1.024
0.24	-1.024	-1.024	-0.216	-1.024	-0.24	0.184	-0.328	-1.024	-1.024	-1.024
0.242	-1.024	-1.024	-0.368	-1.024	-0.32	0.2	-0.112	-1.024	-1.024	-1.024
0.244	-1.024	-1.024	-0.24	-1.024	-0.12	0.224	0.112	-1.024	-1.024	-1.024
0.246	-1.024	-1.024	0.048	-1.024	0.064	0.024	0.248	-1.024	-1.024	-1.024
0.248	-1.024	-1.024	0.208	-1.024	0.24	-0.136	0.296	-1.024	-1.024	-1.024
0.25	-1.024	-1.024	0.304	-1.024	0.336	-0.24	0.16	-1.024	-1.024	-1.024
0.252	-1.024	-1.024	0.248	-1.024	0.208	-0.176	-0.032	-1.024	-1.024	-1.024
0.254	-1.024	-1.024	0.008	-1.024	-1.024	-0.064	-0.192	-1.024	-1.024	-1.024
