Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0.124	-1.024	-1.024	-1.024	0.136	-1.024	-1.024	-1.024	-0.216	-1.024	0.272
0.126	-1.024	-1.024	-1.024	0.272	-1.024	-1.024	-1.024	-0.296	-1.024	0.144
0.128	-1.024	-1.024	-1.024	0.32	-1.024	-1.024	-1.024	-0.248	-1.024	-0.096
0.13	-1.024	-1.024	-1.024	0.12	-1.024	-1.024	-1.024	0	-1.024	-0.288
0.132	-1.024	-1.024	-1.024	-0.12	-1.024	-1.024	-1.024	0.144	-1.024	-0.384
0.134	-1.024	-1.024	-1.024	-0.336	-1.024	-1.024	-1.024	0.272	-1.024	-0.176
0.136	-1.024	-1.024	-1.024	-0.384	-1.024	-1.024	-1.024	0.248	-1.024	0.032
0.138	-1.024	-1.024	-1.024	-0.136	-1.024	-1.024	-1.024	0.072	-1.024	0.208
0.14	-1.024	-1.024	-1.024	0.072	-1.024	-1.024	-1.024	-0.192	-1.024	0.264
0.142	-1.024	-1.024	-1.024	0.216	-1.024	-1.024	-1.024	-0.344	-1.024	0.192
0.144	-1.024	-1.024	-1.024	0.296	-1.024	-1.024	-1.024	-0.28	-1.024	-0.024
0.146	-1.024	-1.024	-1.024	0.16	-1.024	-1.024	-1.024	-0.096	-1.024	-0.208
0.148	-1.024	-1.024	-1.024	-0.064	-1.024	-1.024	-1.024	0.096	-1.024	-0.328
0.15	-1.024	-1.024	-1.024	-0.272	-1.024	-1.024	-1.024	0.272	-1.024	-0.28
0.152	-1.024	-1.024	-1.024	-0.336	-1.024	-1.024	-1.024	0.224	-1.024	-0.008
0.154	-1.024	-1.024	-1.024	-0.16	-1.024	-1.024	-1.024	0.104	-1.024	0.168
0.156	-1.024	-1.024	-1.024	0.04	-1.024	-1.024	-1.024	-0.144	-1.024	0.264
0.158	-1.024	-1.024	-1.024	0.232	-1.024	-1.024	-1.024	-0.32	-1.024	0.216
0.16	-1.024	-1.024	-1.024	0.312	-1.024	-1.024	-1.024	-0.344	-1.024	0.072
0.162	-1.024	-1.024	-1.024	0.192	-1.024	-1.024	-1.024	-0.136	-1.024	-0.16
0.164	-1.024	-1.024	-1.024	0.008	-1.024	-1.024	-1.024	0.112	-1.024	-0.312
0.166	-1.024	-1.024	-1.024	-0.216	-1.024	-1.024	-1.024	0.2	-1.024	-0.336
0.168	-1.024	-1.024	-1.024	-0.344	-1.024	-1.024	-1.024	0.272	-1.024	-0.04
0.17	-1.024	-1.024	-1.024	-0.264	-1.024	-1.024	-1.024	0.176	-1.024	0.152
0.172	-1.024	-1.024	-1.024	-0.064	-1.024	-1.024	-1.024	-0.04	-1.024	0.256
0.174	-1.024	-1.024	-1.024	0.144	-1.024	-1.024	-1.024	-0.264	-1.024	0.264
0.176	-1.024	-1.024	-1.024	0.264	-1.024	-1.024	-1.024	-0.328	-1.024	0.088
0.178	-1.024	-1.024	-1.024	0.208	-1.024	-1.024	-1.024	-0.216	-1.024	-0.112
0.18	-1.024	-1.024	-1.024	-0.008	-1.024	-1.024	-1.024	0.016	-1.024	-0.32
0.182	-1.024	-1.024	-1.024	-0.112	-1.024	-1.024	-1.024	0.176	-1.024	-0.304
0.184	-1.024	-1.024	-1.024	-0.248	-1.024	-1.024	-1.024	0.296	-1.024	-0.168
0.186	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.232	-1.024	0.048
0.188	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.04	-1.024	0.248
0.19	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.248	-1.024	0.264
0.192	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.4	-1.024	0.16
0.194	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.36	-1.024	0.008
0.196	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.088	-1.024	-0.264
0.198	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.144	-1.024	-0.328
0.2	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.272	-1.024	-0.304
0.202	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.224	-1.024	0.008
0.204	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.096	-1.024	0.192
0.206	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.112	-1.024	0.272
0.208	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.296	-1.024	0.248
0.21	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.424	-1.024	0.04
0.212	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.16	-1.024	-0.16
0.214	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.056	-1.024	-0.36
0.216	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.264	-1.024	-0.32
0.218	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.256	-1.024	-0.064
0.22	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.208	-1.024	0.144
0.222	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.032	-1.024	0.272
0.224	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.28	-1.024	0.272
0.226	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.344	-1.024	0.144
0.228	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.304	-1.024	-0.088
0.23	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0	-1.024	-0.296
0.232	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.128	-1.024	-0.328
0.234	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.296	-1.024	-0.216
0.236	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.272	-1.024	0.08
0.238	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.112	-1.024	0.256
0.24	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.144	-1.024	0.296
0.242	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.336	-1.024	0.2
0.244	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.32	-1.024	0.016
0.246	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.112	-1.024	-0.24
0.248	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.12	-1.024	-0.352
0.25	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.24	-1.024	-0.256
0.252	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.248	-1.024	-0.048
0.254	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.112	-1.024	0.168
0.256	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.088	-1.024	0.24
0.258	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.312	-1.024	0.224
0.26	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.336	-1.024	0.032
0.262	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.176	-1.024	-0.104
0.264	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.072	-1.024	-0.296
0.266	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.232	-1.024	-0.312
0.268	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.328	-1.024	-0.136
0.27	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.16	-1.024	0.072
0.272	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.024	-1.024	0.216
0.274	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.208	-1.024	0.304
0.276	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.368	-1.024	0.104
0.278	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.216	-1.024	-0.088
0.28	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-0.008	-1.024	-0.24
0.282	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.168	-1.024	-0.296
0.284	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.264	-1.024	-0.144
0.286	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.24	-1.024	0.032
0.288	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	-1.024	0.04	-1.024	0.24
