Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0.244	-0.312	0.072	-0.992	0.28	0.096	-0.992	0.296	0.232	-0.992	-0.992
0.246	-0.272	-0.256	-0.992	0.056	-0.048	-0.992	0.28	0.152	-0.992	-0.992
0.248	-0.112	-0.264	-0.992	-0.12	-0.256	-0.992	0.104	-0.08	-0.992	-0.992
0.25	0.072	-0.2	-0.992	-0.296	-0.32	-0.992	-0.08	-0.264	-0.992	-0.992
0.252	0.256	0.008	-0.992	-0.288	-0.208	-0.992	-0.312	-0.312	-0.992	-0.992
0.254	0.312	0.2	-0.992	-0.096	0	-0.992	-0.28	-0.184	-0.992	-0.992
0.256	0.168	0.208	-0.992	0.144	0.184	-0.992	-0.104	0.08	-0.992	-0.992
0.258	-0.096	0.224	-0.992	0.272	0.336	-0.992	0.152	0.256	-0.992	-0.992
0.26	-0.224	0.048	-0.992	0.304	0.2	-0.992	0.28	0.304	-0.992	-0.992
0.262	-0.32	-0.208	-0.992	0.136	0.008	-0.992	0.304	0.288	-0.992	-0.992
0.264	-0.248	-0.28	-0.992	-0.088	-0.232	-0.992	0.176	-0.04	-0.992	-0.992
0.266	-0.008	-0.208	-0.992	-0.256	-0.264	-0.992	-0.112	-0.288	-0.992	-0.992
0.268	0.2	-0.072	-0.992	-0.296	-0.208	-0.992	-0.248	-0.36	-0.992	-0.992
0.27	0.232	0.152	-0.992	-0.232	-0.088	-0.992	-0.336	-0.232	-0.992	-0.992
0.272	0.232	0.32	-0.992	0.112	0.12	-0.992	-0.136	-0.024	-0.992	-0.992
0.274	0	0.176	-0.992	0.304	0.312	-0.992	0.096	0.2	-0.992	-0.992
0.276	-0.184	0.128	-0.992	0.28	0.256	-0.992	0.224	0.352	-0.992	-0.992
0.278	-0.28	-0.128	-0.992	0.168	0.176	-0.992	0.304	0.232	-0.992	-0.992
0.28	-0.304	-0.248	-0.992	-0.032	-0.264	-0.992	0.208	0	-0.992	-0.992
0.282	-0.056	-0.248	-0.992	-0.28	-0.264	-0.992	-0.048	-0.128	-0.992	-0.992
0.284	0.176	-0.112	-0.992	-0.336	-0.32	-0.992	-0.2	-0.304	-0.992	-0.992
0.286	0.304	0.12	-0.992	-0.232	-0.072	-0.992	-0.312	-0.32	-0.992	-0.992
0.288	0.28	0.232	-0.992	-0.056	0.104	-0.992	-0.288	-0.104	-0.992	0.304
0.29	0.056	0.248	-0.992	0.168	0.232	-0.992	-0.016	0.112	-0.992	0.28
0.292	-0.136	0.048	-0.992	0.28	0.168	-0.992	0.168	0.208	-0.992	0.152
0.294	-0.272	-0.08	-0.992	0.304	0.168	-0.992	0.216	0.256	-0.992	-0.104
0.296	-0.296	-0.16	-0.992	0.04	-0.056	-0.992	0.256	0.16	-0.992	-0.264
0.298	-0.112	-0.232	-0.992	-0.16	-0.288	-0.992	0.04	-0.032	-0.992	-0.272
0.3	0	-0.168	-0.992	-0.288	-0.264	-0.992	-0.2	-0.256	-0.992	-0.184
0.302	0.176	0.088	-0.992	-0.312	-0.216	-0.992	-0.336	-0.32	-0.992	0.024
0.304	0.28	0.16	-0.992	-0.136	0.048	-0.992	-0.272	-0.144	-0.992	0.288
0.306	0.176	0.28	-0.992	0.128	0.208	-0.992	-0.128	0.072	-0.992	0.328
0.308	-0.056	0.28	-0.992	0.296	0.288	-0.992	0.088	0.216	-0.992	0.232
0.31	-0.224	0.008	-0.992	0.304	0.272	-0.992	0.288	0.32	-0.992	0.016
0.312	-0.352	-0.224	-0.992	0.128	-0.032	-0.992	0.328	0.232	-0.992	-0.232
0.314	-0.208	-0.296	-0.992	-0.064	-0.112	-0.992	0.128	0	-0.992	-0.296
0.316	-0.008	-0.208	-0.992	-0.328	-0.336	-0.992	-0.08	-0.208	-0.992	-0.288
0.318	0.184	0.024	-0.992	-0.312	-0.224	-0.992	-0.288	-0.312	-0.992	-0.032
0.32	0.304	0.128	-0.992	-0.16	-0.048	-0.992	-0.376	-0.208	-0.992	0.224
0.322	0.248	0.216	-0.992	0.056	0.216	-0.992	-0.184	0.016	-0.992	0.272
0.324	0.024	0.304	-0.992	0.24	0.272	-0.992	0.056	0.144	-0.992	0.264
0.326	-0.184	0.032	-0.992	0.32	0.224	-0.992	0.224	0.304	-0.992	0.048
0.328	-0.328	-0.128	-0.992	0.208	0.072	-0.992	0.296	0.272	-0.992	-0.056
0.33	-0.304	-0.24	-0.992	0.016	-0.176	-0.992	0.232	0.024	-0.992	-0.288
0.332	-0.056	-0.256	-0.992	-0.216	-0.288	-0.992	0.008	-0.144	-0.992	-0.232
0.334	0.144	-0.104	-0.992	-0.312	-0.312	-0.992	-0.168	-0.344	-0.992	-0.072
0.336	0.264	0.104	-0.992	-0.28	-0.104	-0.992	-0.36	-0.288	-0.992	0.136
0.338	0.28	0.248	-0.992	-0.056	0.176	-0.992	-0.312	-0.072	-0.992	0.28
0.34	0.096	0.184	-0.992	0.192	0.272	-0.992	-0.032	0.112	-0.992	0.384
0.342	-0.12	0.144	-0.992	0.296	0.36	-0.992	0.152	0.24	-0.992	0.152
0.344	-0.296	-0.184	-0.992	0.216	0.104	-0.992	0.256	0.256	-0.992	-0.04
0.346	-0.312	-0.216	-0.992	0.104	-0.032	-0.992	0.272	0.128	-0.992	-0.248
0.348	-0.2	-0.32	-0.992	-0.16	-0.208	-0.992	0.104	-0.104	-0.992	-0.328
0.35	0.112	-0.104	-0.992	-0.312	-0.264	-0.992	-0.216	-0.256	-0.992	-0.248
0.352	0.208	0.056	-0.992	-0.312	-0.128	-0.992	-0.288	-0.376	-0.992	0.04
0.354	0.28	0.232	-0.992	-0.056	0.048	-0.992	-0.352	-0.16	-0.992	0.184
0.356	0.136	0.248	-0.992	0.112	0.176	-0.992	-0.992	0.048	-0.992	0.328
0.358	-0.032	0.176	-0.992	0.256	0.304	-0.992	-0.992	0.176	-0.992	0.224
0.36	-0.304	0.024	-0.992	0.296	0.216	-0.992	-0.992	0.28	-0.992	0
0.362	-0.36	-0.136	-0.992	0.104	-0.032	-0.992	-0.992	0.176	-0.992	-0.272
0.364	-0.184	-0.248	-0.992	-0.104	-0.232	-0.992	-0.992	0.032	-0.992	-0.304
0.366	-0.056	-0.16	-0.992	-0.208	-0.336	-0.992	-0.992	-0.16	-0.992	-0.248
0.368	0.176	0.032	-0.992	-0.272	-0.288	-0.992	-0.992	-0.288	-0.992	-0.032
0.37	0.272	0.168	-0.992	-0.168	-0.016	-0.992	-0.992	-0.328	-0.992	0.192
0.372	0.28	0.24	-0.992	0.088	0.184	-0.992	-0.992	-0.048	-0.992	0.36
0.374	-0.008	0.304	-0.992	0.176	0.248	-0.992	-0.992	0.168	-0.992	0.288
0.376	-0.144	0.04	-0.992	0.304	0.304	-0.992	-0.992	0.296	-0.992	0.104
0.378	-0.344	-0.128	-0.992	0.216	0.088	-0.992	-0.992	0.28	-0.992	-0.12
0.38	-0.344	-0.312	-0.992	-0.088	-0.128	-0.992	-0.992	0.064	-0.992	-0.272
0.382	-0.104	-0.312	-0.992	-0.264	-0.288	-0.992	-0.992	-0.16	-0.992	-0.312
0.384	0.144	-0.08	-0.992	-0.392	-0.312	-0.992	-0.992	-0.32	-0.992	-0.112
0.386	0.296	0.128	-0.992	-0.232	-0.128	-0.992	-0.992	-0.304	-0.992	0.168
0.388	0.256	0.2	-0.992	-0.032	0.072	-0.992	-0.992	-0.056	-0.992	0.256
0.39	0.072	0.28	-0.992	0.16	0.272	-0.992	-0.992	0.128	-0.992	0.264
0.392	-0.08	0.12	-0.992	0.296	0.272	-0.992	-0.992	0.248	-0.992	0.112
0.394	-0.272	-0.128	-0.992	0.256	0.176	-0.992	-0.992	0.28	-0.992	-0.096
0.396	-0.304	-0.256	-0.992	0.056	-0.056	-0.992	-0.992	0.144	-0.992	-0.232
0.398	-0.176	-0.352	-0.992	-0.16	-0.208	-0.992	-0.992	-0.056	-0.992	-0.304
0.4	0.024	-0.128	-0.992	-0.336	-0.408	-0.992	-0.992	-0.248	-0.992	-0.184
0.402	0.176	0.016	-0.992	-0.296	-0.192	-0.992	-0.992	-0.328	-0.992	0.032
0.404	0.264	0.192	-0.992	-0.072	0.016	-0.992	-0.992	-0.208	-0.992	0.232
0.406	0.192	0.232	-0.992	0.128	0.176	-0.992	-0.992	0.064	-0.992	0.256
0.408	-0.056	0.136	-0.992	0.232	0.256	-0.992	-0.992	0.184	-0.992	0.184
0.41	-0.208	-0.048	-0.992	0.288	0.224	-0.992	-0.992	0.328	-0.992	0.024
0.412	-0.312	-0.16	-0.992	0.072	0.032	-0.992	-0.992	0.224	-0.992	-0.216
0.414	-0.256	-0.296	-0.992	-0.104	-0.288	-0.992	-0.992	-0.04	-0.992	-0.312
0.416	0.016	-0.248	-0.992	-0.288	-0.384	-0.992	-0.992	-0.144	-0.992	-0.248
0.418	0.136	0	-0.992	-0.328	-0.272	-0.992	-0.992	-0.28	-0.992	-0.008
0.42	0.208	0.176	-0.992	-0.16	-0.088	-0.992	-0.992	-0.368	-0.992	0.144
0.422	0.2	0.264	-0.992	-0.992	0.16	-0.992	-0.992	-0.088	-0.992	0.256
0.424	0.064	0.24	-0.992	-0.992	0.312	-0.992	-0.992	0.168	-0.992	0.264
0.426	-0.176	0.08	-0.992	-0.992	0.264	-0.992	-0.992	0.28	-0.992	0.08
0.428	-0.304	-0.208	-0.992	-0.992	0.056	-0.992	-0.992	0.352	-0.992	-0.16
0.43	-0.264	-0.304	-0.992	-0.992	-0.12	-0.992	-0.992	0.096	-0.992	-0.24
