Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	-0.992	-0.048	-0.992	-0.28	-0.992	-0.992	-0.992	0.168	-0.992	-0.992
0.002	-0.992	-0.232	-0.992	-0.104	-0.992	-0.992	-0.992	0.296	-0.992	-0.992
0.004	-0.992	-0.368	-0.992	0.072	-0.992	-0.992	-0.992	0.232	-0.992	-0.992
0.006	-0.992	-0.2	-0.992	0.272	-0.992	-0.992	-0.992	0.08	-0.992	-0.992
0.008	-0.992	0.104	-0.992	0.36	-0.992	-0.992	-0.992	-0.112	-0.992	-0.992
0.01	-0.992	0.2	-0.992	0.136	-0.992	-0.992	-0.992	-0.296	-0.992	-0.992
0.012	-0.992	0.28	-0.992	-0.056	-0.992	-0.992	-0.992	-0.344	-0.992	-0.992
0.014	-0.992	0.216	-0.992	-0.24	-0.992	-0.992	-0.992	-0.12	-0.992	-0.992
0.016	-0.992	0.032	-0.992	-0.328	-0.992	-0.992	-0.992	0.152	-0.992	-0.992
0.018	-0.992	-0.208	-0.992	-0.16	-0.992	-0.992	-0.992	0.248	-0.992	-0.992
0.02	-0.992	-0.328	-0.992	0.072	-0.992	-0.992	-0.992	0.128	-0.992	-0.992
0.022	-0.992	-0.28	-0.992	0.264	-0.992	-0.992	-0.992	0.144	-0.992	-0.992
0.024	-0.992	-0.072	-0.992	0.296	-0.992	-0.992	-0.992	-0.128	-0.992	-0.992
0.026	-0.992	0.152	-0.992	0.248	-0.992	-0.992	-0.992	-0.24	-0.992	-0.992
0.028	-0.992	0.304	-0.992	0.008	-0.992	-0.992	-0.992	-0.232	-0.992	-0.992
0.03	-0.992	0.256	-0.992	-0.176	-0.992	-0.992	-0.992	-0.16	-0.992	-0.992
0.032	-0.992	0.048	-0.992	-0.304	-0.992	-0.992	-0.992	0.072	-0.992	-0.992
0.034	-0.992	-0.12	-0.992	-0.272	-0.992	-0.992	-0.992	0.208	-0.992	-0.992
0.036	-0.992	-0.232	-0.992	0	-0.992	-0.992	-0.992	0.28	-0.992	-0.992
0.038	-0.992	-0.288	-0.992	0.152	-0.992	-0.992	-0.992	0.2	-0.992	-0.992
0.04	-0.992	-0.128	-0.992	0.264	-0.992	-0.992	-0.992	-0.056	-0.992	-0.992
0.042	-0.992	0.136	-0.992	0.216	-0.992	-0.992	-0.992	-0.232	-0.992	-0.992
0.044	-0.992	0.2	-0.992	-0.992	-0.992	-0.992	-0.992	-0.288	-0.992	-0.992
0.046	-0.992	0.344	-0.992	-0.992	-0.992	-0.992	-0.992	-0.272	-0.992	-0.992
0.048	-0.992	0.168	-0.992	-0.992	-0.992	-0.992	-0.992	-0.008	-0.992	-0.992
0.05	-0.992	-0.056	-0.992	-0.992	-0.992	-0.992	-0.992	0.152	-0.992	-0.992
0.052	-0.992	-0.264	-0.992	-0.992	-0.992	-0.992	-0.992	0.272	-0.992	-0.992
0.054	-0.992	-0.352	-0.992	-0.992	-0.992	-0.992	-0.992	0.264	-0.992	-0.992
0.056	-0.992	-0.216	-0.992	-0.992	-0.992	-0.992	-0.992	0.032	-0.992	-0.992
0.058	-0.992	0.032	-0.992	-0.992	-0.992	-0.992	-0.992	-0.16	-0.992	-0.992
0.06	-0.992	0.168	-0.992	-0.992	-0.992	-0.992	-0.992	-0.288	-0.992	-0.992
0.062	-0.992	0.304	-0.992	-0.992	-0.992	-0.992	-0.992	-0.344	-0.992	-0.992
0.064	-0.992	0.232	-0.992	-0.992	-0.992	-0.992	-0.992	-0.072	-0.992	-0.992
0.066	-0.992	0.032	-0.992	-0.992	-0.992	-0.992	-0.992	0.072	-0.992	-0.992
0.068	-0.992	-0.184	-0.992	-0.992	-0.992	-0.992	-0.992	0.28	-0.992	-0.992
0.07	-0.992	-0.304	-0.992	-0.992	-0.992	-0.992	-0.992	0.304	-0.992	-0.992
0.072	-0.992	-0.288	-0.992	-0.992	-0.992	-0.992	-0.992	0.144	-0.992	-0.992
0.074	-0.992	-0.056	-0.992	-0.992	-0.992	-0.992	-0.992	-0.08	-0.992	-0.992
0.076	-0.992	0.216	-0.992	-0.992	-0.992	-0.992	-0.992	-0.312	-0.992	-0.992
0.078	-0.992	0.288	-0.992	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	-0.992
0.08	-0.992	0.28	-0.992	-0.992	-0.992	-0.992	-0.992	-0.184	-0.992	-0.992
0.082	-0.992	0.104	-0.992	-0.992	-0.992	-0.992	-0.992	-0.04	-0.992	-0.992
0.084	-0.992	-0.112	-0.992	-0.992	-0.992	-0.992	-0.992	0.232	-0.992	-0.992
0.086	-0.992	-0.288	-0.992	-0.992	-0.992	-0.992	-0.992	0.328	-0.992	-0.992
0.088	-0.992	-0.272	-0.992	-0.992	-0.992	-0.992	-0.992	0.2	-0.992	-0.992
0.09	-0.992	-0.128	-0.992	-0.992	-0.992	-0.992	-0.992	-0.016	-0.992	-0.992
0.092	-0.992	0.048	-0.992	-0.992	-0.992	-0.992	-0.992	-0.208	-0.992	0.2
0.094	-0.992	0.232	-0.992	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	0.232
0.096	-0.992	0.296	-0.992	-0.992	-0.992	-0.992	-0.992	-0.144	-0.992	0.232
0.098	-0.992	0.168	-0.992	-0.992	-0.992	-0.992	-0.992	-0.056	-0.992	0.024
0.1	-0.992	-0.064	-0.992	-0.992	-0.992	-0.992	-0.992	0.144	-0.992	-0.16
0.102	-0.992	-0.264	-0.992	-0.992	-0.992	-0.992	-0.992	0.304	-0.992	-0.232
0.104	-0.992	-0.336	-0.992	-0.992	-0.992	-0.992	-0.992	0.16	-0.992	-0.232
0.106	-0.992	-0.2	-0.992	-0.992	-0.992	-0.992	-0.992	0.048	-0.992	-0.032
0.108	-0.992	-0.008	-0.992	-0.992	-0.992	-0.992	-0.992	-0.16	-0.992	0.104
0.11	-0.992	0.2	-0.992	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	0.256
0.112	-0.992	0.32	-0.992	-0.992	-0.992	-0.992	-0.992	-0.32	-0.992	0.24
0.114	-0.992	0.272	-0.992	-0.992	-0.992	-0.992	-0.992	-0.136	-0.992	0
0.116	-0.992	0.016	-0.992	-0.992	-0.992	-0.992	-0.992	0.12	-0.992	-0.056
0.118	-0.992	-0.176	-0.992	-0.992	-0.992	-0.992	-0.992	0.28	-0.992	-0.184
0.12	-0.992	-0.36	-0.992	-0.992	-0.992	-0.992	-0.992	0.24	-0.992	-0.216
0.122	-0.992	-0.248	-0.992	-0.992	-0.992	-0.992	-0.992	0.144	-0.992	-0.16
0.124	-0.992	-0.056	-0.992	-0.992	-0.992	-0.992	-0.992	-0.088	-0.992	0.048
0.126	-0.992	0.152	-0.992	-0.992	-0.992	-0.992	-0.992	-0.248	-0.992	0.224
0.128	-0.992	0.304	-0.992	-0.992	-0.992	-0.992	-0.992	-0.312	-0.992	0.232
0.13	-0.992	0.24	-0.992	-0.992	-0.992	-0.992	-0.992	-0.28	-0.992	0.152
0.132	-0.992	0.048	-0.992	-0.992	-0.992	-0.992	-0.992	-0.056	-0.992	-0.088
0.134	-0.992	-0.12	-0.992	-0.992	-0.992	-0.992	-0.992	0.192	-0.992	-0.2
0.136	-0.992	-0.28	-0.992	-0.992	-0.992	-0.992	-0.992	0.256	-0.992	-0.288
0.138	-0.992	-0.352	-0.992	-0.992	-0.992	-0.992	-0.992	0.216	-0.992	-0.152
0.14	-0.992	-0.16	-0.992	-0.992	-0.992	-0.992	-0.992	-0.032	-0.992	0.024
0.142	-0.992	0.128	-0.992	-0.992	-0.992	-0.992	-0.992	-0.208	-0.992	0.136
0.144	-0.992	0.304	-0.992	-0.992	-0.992	-0.992	-0.992	-0.264	-0.992	0.248
0.146	-0.992	0.264	-0.992	-0.992	-0.992	-0.992	-0.992	-0.2	-0.992	0.176
0.148	-0.992	0.168	-0.992	-0.992	-0.992	-0.992	-0.992	-0.096	-0.992	0
0.15	-0.992	-0.064	-0.992	-0.992	-0.992	-0.992	-0.992	0.16	-0.992	-0.112
0.152	-0.992	-0.248	-0.992	-0.992	-0.992	-0.992	-0.992	0.248	-0.992	-0.288
0.154	-0.992	-0.288	-0.992	-0.992	-0.992	-0.992	-0.992	0.288	-0.992	-0.248
0.156	-0.992	-0.232	-0.992	-0.992	-0.992	-0.992	-0.992	0.072	-0.992	-0.08
0.158	-0.992	0.008	-0.992	-0.992	-0.992	-0.992	-0.992	-0.104	-0.992	0.104
0.16	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	-0.992	-0.304	-0.992	0.28
0.162	-0.992	0.32	-0.992	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	0.24
0.164	-0.992	0.2	-0.992	-0.992	-0.992	-0.992	-0.992	-0.112	-0.992	0.056
0.166	-0.992	0.048	-0.992	-0.992	-0.992	-0.992	-0.992	0.096	-0.992	-0.064
0.168	-0.992	-0.184	-0.992	-0.992	-0.992	-0.992	-0.992	0.16	-0.992	-0.256
0.17	-0.992	-0.304	-0.992	-0.992	0.072	-0.992	-0.992	-0.992	-0.992	-0.272
0.172	-0.992	-0.264	-0.992	-0.992	-0.2	-0.992	-0.992	-0.992	-0.992	-0.112
0.174	-0.992	-0.08	-0.992	-0.992	-0.264	-0.992	-0.992	-0.992	-0.992	0.088
0.176	-0.992	0.168	-0.992	-0.992	-0.296	-0.992	-0.992	-0.992	-0.992	0.176
0.178	-0.992	0.288	-0.992	-0.992	-0.032	-0.992	-0.992	-0.992	-0.992	0.248
0.18	-0.992	0.232	-0.992	-0.992	0.104	-0.992	-0.992	-0.992	-0.992	0.08
0.182	-0.992	0.08	-0.992	-0.992	0.232	-0.992	-0.992	-0.992	-0.992	-0.048
0.184	-0.992	-0.088	-0.992	-0.992	0.312	-0.992	-0.992	-0.992	-0.992	-0.224
0.186	-0.992	-0.296	-0.992	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	-0.288
0.188	-0.992	-0.272	-0.992	-0.992	-0.072	-0.992	-0.992	-0.992	-0.992	-0.144
0.19	-0.992	-0.136	-0.992	-0.992	-0.288	-0.992	-0.992	-0.992	-0.992	-0.032
0.192	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	-0.992	-0.992	-0.992	0.16
0.194	-0.992	-0.992	-0.992	-0.992	-0.168	-0.992	-0.992	-0.992	-0.992	0.304
0.196	-0.992	-0.992	-0.992	-0.992	-0.056	-0.992	-0.992	-0.992	-0.992	0.216
0.198	-0.992	-0.992	-0.992	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	0.008
0.2	-0.992	-0.992	-0.992	-0.992	0.272	-0.992	-0.992	-0.992	-0.992	-0.208
0.202	-0.992	-0.992	-0.992	-0.992	0.256	-0.992	-0.992	-0.992	-0.992	-0.312
0.204	-0.992	-0.992	-0.992	-0.992	0.072	-0.992	-0.992	-0.992	-0.992	-0.232
0.206	-0.992	-0.992	-0.992	-0.992	-0.184	-0.992	-0.992	-0.992	-0.992	-0.008
0.208	-0.992	-0.992	-0.992	-0.992	-0.32	-0.992	-0.992	-0.992	-0.992	0.152
0.21	-0.992	-0.992	-0.992	-0.992	-0.272	-0.992	-0.992	-0.992	-0.992	0.256
0.212	-0.992	-0.992	-0.992	-0.992	-0.072	-0.992	-0.992	-0.992	-0.992	0.232
0.214	-0.992	-0.992	-0.992	-0.992	0.136	-0.992	-0.992	-0.992	-0.992	0.12
0.216	-0.992	-0.992	-0.992	-0.992	0.264	-0.992	-0.992	-0.992	-0.992	-0.096
0.218	-0.992	-0.992	-0.992	-0.992	0.28	-0.992	-0.992	-0.992	-0.992	-0.232
0.22	-0.992	-0.992	-0.992	-0.992	0.12	-0.992	-0.992	-0.992	-0.992	-0.272
0.222	-0.992	-0.992	-0.992	-0.992	-0.128	-0.992	-0.992	-0.992	-0.992	-0.128
0.224	-0.992	-0.992	-0.992	-0.992	-0.312	-0.992	-0.992	-0.992	-0.992	0.088
0.226	-0.992	-0.992	-0.992	-0.992	-0.312	-0.992	-0.992	-0.992	-0.992	0.2
0.228	-0.992	-0.992	-0.992	-0.992	-0.128	-0.992	-0.992	-0.992	-0.992	0.264
0.23	-0.992	-0.992	-0.992	-0.992	0.16	-0.992	-0.992	-0.992	-0.992	0.152
0.232	-0.992	-0.992	-0.992	-0.992	0.208	-0.992	-0.992	-0.992	-0.992	-0.024
0.234	-0.992	-0.992	-0.992	-0.992	0.272	-0.992	-0.992	-0.992	-0.992	-0.2
0.236	-0.992	-0.992	-0.992	-0.992	0.152	-0.992	-0.992	-0.992	-0.992	-0.208
0.238	-0.992	-0.992	-0.992	-0.992	-0.128	-0.992	-0.992	-0.992	-0.992	-0.2
0.24	-0.992	-0.992	-0.992	-0.992	-0.232	-0.992	-0.992	-0.992	-0.992	0.048
0.242	-0.992	-0.992	-0.992	-0.992	-0.264	-0.992	-0.992	-0.992	-0.992	0.144
0.244	-0.992	-0.992	-0.992	-0.992	-0.192	-0.992	-0.992	-0.992	-0.992	0.248
0.246	-0.992	-0.992	-0.992	-0.992	0.128	-0.992	-0.992	-0.992	-0.992	0.184
0.248	-0.992	-0.992	-0.992	-0.992	0.2	-0.992	-0.992	-0.992	-0.992	-0.008
0.25	-0.992	-0.992	-0.992	-0.992	0.296	-0.992	-0.992	-0.992	-0.992	-0.128
0.252	-0.992	-0.992	-0.992	-0.992	0.28	-0.992	-0.992	-0.992	-0.992	-0.256
0.254	-0.992	-0.992	-0.992	-0.992	0.024	-0.992	-0.992	-0.992	-0.992	-0.192
0.256	-0.992	-0.992	-0.992	-0.992	-0.16	-0.992	-0.992	-0.992	-0.992	-0.04
0.258	-0.992	-0.992	-0.992	-0.992	-0.36	-0.992	-0.992	-0.992	-0.992	0.152
0.26	-0.992	-0.992	-0.992	-0.992	-0.336	-0.992	-0.992	-0.992	-0.992	0.248
