Time	1st	2nd	3rd	4th	5th
0.244	-102.4	-102.4	-102.4	-102.4	3.2
0.246	-102.4	-102.4	-102.4	-102.4	2.4
0.248	-102.4	-102.4	-102.4	-102.4	4
0.25	-102.4	-102.4	-102.4	-102.4	3.2
0.252	-102.4	-102.4	-102.4	-102.4	3.2
0.254	-102.4	-102.4	-102.4	-102.4	3.2
0.256	-102.4	-102.4	-102.4	-102.4	4
0.258	-102.4	-102.4	-102.4	-102.4	4
0.26	-102.4	-102.4	-102.4	-102.4	3.2
0.262	-102.4	-102.4	-102.4	-102.4	3.2
0.264	-102.4	-102.4	-102.4	-102.4	3.2
0.266	-102.4	-102.4	-102.4	-102.4	4
0.268	-102.4	-102.4	-102.4	-102.4	4
0.27	-102.4	-102.4	-102.4	-102.4	3.2
0.272	-102.4	-102.4	-102.4	-102.4	3.2
0.274	-102.4	-102.4	-102.4	-102.4	4
0.276	-102.4	-102.4	-102.4	-102.4	3.2
0.278	-102.4	-102.4	-102.4	-102.4	4
0.28	-102.4	-102.4	-102.4	-102.4	3.2
0.282	-102.4	-102.4	-102.4	-102.4	3.2
0.284	-102.4	-102.4	-102.4	-102.4	3.2
0.286	-102.4	-102.4	-102.4	-102.4	3.2
0.288	-102.4	-102.4	-102.4	-102.4	3.2
0.29	-102.4	-102.4	-102.4	-102.4	4
0.292	-102.4	-102.4	-102.4	-102.4	3.2
0.294	-102.4	-102.4	-102.4	-102.4	3.2
0.296	-102.4	-102.4	-102.4	-102.4	3.2
0.298	-102.4	-102.4	-102.4	-102.4	4
0.3	-102.4	-102.4	-102.4	-102.4	3.2
0.302	-102.4	-102.4	-102.4	-102.4	3.2
0.304	-102.4	-102.4	-102.4	-102.4	3.2
0.306	-102.4	-102.4	-102.4	-102.4	3.2
0.308	-102.4	-102.4	-102.4	-102.4	2.4
0.31	-102.4	-102.4	-102.4	-102.4	4
0.312	-102.4	-102.4	-102.4	-102.4	4
0.314	-102.4	-102.4	-102.4	-102.4	3.2
0.316	-102.4	-102.4	-102.4	-102.4	3.2
0.318	-102.4	-102.4	-102.4	-102.4	4
0.32	-102.4	-102.4	-102.4	-102.4	4
0.322	-102.4	-102.4	-102.4	-102.4	3.2
0.324	-102.4	-102.4	-102.4	-102.4	3.2
0.326	-102.4	-102.4	-102.4	-102.4	2.4
0.328	-102.4	-102.4	-102.4	-102.4	3.2
0.33	-102.4	-102.4	-102.4	-102.4	4
0.332	-102.4	-102.4	-102.4	-102.4	4
0.334	-102.4	-102.4	-102.4	-102.4	3.2
0.336	-102.4	-102.4	-102.4	-102.4	3.2
0.338	-102.4	-102.4	-102.4	-102.4	3.2
0.34	-102.4	-102.4	-102.4	-102.4	3.2
0.342	-102.4	-102.4	-102.4	-102.4	3.2
0.344	-102.4	-102.4	-102.4	-102.4	4
0.346	-102.4	-102.4	-102.4	-102.4	3.2
0.348	-102.4	-102.4	-102.4	-102.4	3.2
0.35	-102.4	-102.4	-102.4	-102.4	4
0.352	-102.4	-102.4	-102.4	-102.4	3.2
0.354	-102.4	-102.4	-102.4	-102.4	4
0.356	-102.4	-102.4	-102.4	-102.4	2.4
0.358	-102.4	-102.4	-102.4	-102.4	3.2
0.36	-102.4	-102.4	-102.4	-102.4	3.2
0.362	-102.4	-102.4	-102.4	-102.4	4
0.364	-102.4	-102.4	-102.4	-102.4	3.2
0.366	-102.4	-102.4	-102.4	-102.4	3.2
