Time	1st	2nd	3rd	4th	5th
0.586	-102.4	2.4	-102.4	-102.4	-102.4
0.588	-102.4	3.2	-102.4	-102.4	-102.4
0.59	-102.4	3.2	-102.4	-102.4	-102.4
0.592	-102.4	3.2	-102.4	-102.4	-102.4
0.594	-102.4	2.4	-102.4	-102.4	-102.4
0.596	-102.4	3.2	-102.4	-102.4	-102.4
0.598	-102.4	3.2	-102.4	-102.4	-102.4
0.6	-102.4	2.4	-102.4	-102.4	-102.4
0.602	-102.4	3.2	-102.4	-102.4	-102.4
0.604	-102.4	2.4	-102.4	-102.4	-102.4
0.606	-102.4	2.4	-102.4	-102.4	-102.4
0.608	-102.4	2.4	-102.4	-102.4	-102.4
0.61	-102.4	3.2	-102.4	-102.4	-102.4
0.612	-102.4	2.4	-102.4	-102.4	-102.4
0.614	-102.4	2.4	-102.4	-102.4	-102.4
0.616	-102.4	2.4	-102.4	-102.4	-102.4
0.618	-102.4	3.2	-102.4	-102.4	-102.4
0.62	-102.4	3.2	-102.4	-102.4	-102.4
0.622	-102.4	3.2	-102.4	-102.4	-102.4
0.624	-102.4	3.2	-102.4	-102.4	-102.4
0.626	-102.4	3.2	-102.4	-102.4	-102.4
0.628	-102.4	3.2	-102.4	-102.4	-102.4
0.63	-102.4	3.2	-102.4	-102.4	-102.4
0.632	-102.4	4	-102.4	-102.4	-102.4
0.634	-102.4	3.2	-102.4	-102.4	-102.4
0.636	-102.4	3.2	-102.4	-102.4	-102.4
0.638	-102.4	4	-102.4	-102.4	-102.4
0.64	-102.4	3.2	-102.4	-102.4	-102.4
0.642	-102.4	3.2	-102.4	-102.4	-102.4
0.644	-102.4	2.4	-102.4	-102.4	-102.4
0.646	-102.4	2.4	-102.4	-102.4	-102.4
0.648	-102.4	2.4	-102.4	-102.4	-102.4
0.65	-102.4	3.2	-102.4	-102.4	-102.4
0.652	-102.4	3.2	-102.4	-102.4	-102.4
0.654	-102.4	3.2	-102.4	-102.4	-102.4
0.656	-102.4	2.4	-102.4	-102.4	-102.4
0.658	-102.4	3.2	-102.4	-102.4	-102.4
0.66	-102.4	3.2	-102.4	-102.4	-102.4
0.662	-102.4	3.2	-102.4	-102.4	-102.4
0.664	-102.4	2.4	-102.4	-102.4	-102.4
0.666	-102.4	3.2	-102.4	-102.4	-102.4
0.668	-102.4	3.2	-102.4	-102.4	-102.4
0.67	-102.4	3.2	-102.4	-102.4	-102.4
0.672	-102.4	3.2	-102.4	-102.4	-102.4
0.674	-102.4	4	-102.4	-102.4	-102.4
0.676	-102.4	3.2	-102.4	-102.4	-102.4
0.678	-102.4	3.2	-102.4	-102.4	-102.4
0.68	-102.4	3.2	-102.4	-102.4	-102.4
0.682	-102.4	3.2	-102.4	-102.4	-102.4
0.684	-102.4	3.2	-102.4	-102.4	-102.4
0.686	-102.4	3.2	-102.4	-102.4	-102.4
0.688	-102.4	3.2	-102.4	-102.4	-102.4
0.69	-102.4	3.2	-102.4	-102.4	-102.4
0.692	-102.4	2.4	-102.4	-102.4	-102.4
0.694	-102.4	3.2	-102.4	-102.4	-102.4
0.696	-102.4	3.2	-102.4	-102.4	-102.4
0.698	-102.4	3.2	-102.4	-102.4	-102.4
0.7	-102.4	3.2	-102.4	-102.4	-102.4
0.702	-102.4	3.2	-102.4	-102.4	-102.4
0.704	-102.4	3.2	-102.4	-102.4	-102.4
0.706	-102.4	4	-102.4	-102.4	-102.4
0.708	-102.4	3.2	-102.4	-102.4	-102.4
0.71	-102.4	3.2	-102.4	-102.4	-102.4
0.712	-102.4	2.4	-102.4	-102.4	-102.4
0.714	-102.4	3.2	-102.4	-102.4	-102.4
0.716	-102.4	3.2	-102.4	-102.4	-102.4
0.718	-102.4	3.2	-102.4	-102.4	-102.4
0.72	-102.4	3.2	-102.4	-102.4	-102.4
0.722	-102.4	2.4	-102.4	-102.4	-102.4
0.724	-102.4	3.2	-102.4	-102.4	-102.4
0.726	-102.4	4	-102.4	-102.4	-102.4
0.728	-102.4	4	-102.4	-102.4	-102.4
0.73	-102.4	3.2	-102.4	-102.4	-102.4
0.732	-102.4	2.4	-102.4	-102.4	-102.4
0.734	-102.4	3.2	-102.4	-102.4	-102.4
0.736	-102.4	2.4	-102.4	-102.4	-102.4
0.738	-102.4	4	-102.4	-102.4	-102.4
0.74	-102.4	3.2	-102.4	-102.4	-102.4
0.742	-102.4	3.2	-102.4	-102.4	-102.4
0.744	-102.4	3.2	-102.4	-102.4	-102.4
0.746	-102.4	3.2	-102.4	-102.4	-102.4
0.748	-102.4	3.2	-102.4	-102.4	-102.4
0.75	-102.4	3.2	-102.4	-102.4	-102.4
0.752	-102.4	3.2	-102.4	-102.4	-102.4
0.754	-102.4	2.4	-102.4	-102.4	-102.4
0.756	-102.4	3.2	-102.4	-102.4	-102.4
0.758	-102.4	3.2	-102.4	-102.4	-102.4
0.76	-102.4	2.4	-102.4	-102.4	-102.4
0.762	-102.4	2.4	-102.4	-102.4	-102.4
0.764	-102.4	3.2	-102.4	-102.4	-102.4
0.766	-102.4	2.4	-102.4	-102.4	-102.4
0.768	-102.4	3.2	-102.4	-102.4	-102.4
0.77	-102.4	3.2	-102.4	-102.4	-102.4
0.772	-102.4	4	-102.4	-102.4	-102.4
0.774	-102.4	3.2	-102.4	-102.4	-102.4
0.776	-102.4	3.2	-102.4	-102.4	-102.4
0.778	3.2	3.2	-102.4	-102.4	-102.4
0.78	2.4	3.2	-102.4	-102.4	-102.4
0.782	3.2	3.2	-102.4	-102.4	-102.4
0.784	4	3.2	-102.4	-102.4	-102.4
0.786	3.2	2.4	-102.4	-102.4	-102.4
0.788	3.2	3.2	-102.4	-102.4	-102.4
0.79	4	3.2	-102.4	-102.4	-102.4
0.792	3.2	2.4	-102.4	-102.4	-102.4
0.794	3.2	2.4	-102.4	-102.4	-102.4
0.796	4	2.4	-102.4	-102.4	-102.4
0.798	3.2	2.4	-102.4	-102.4	-102.4
0.8	4	3.2	-102.4	-102.4	-102.4
0.802	4	3.2	-102.4	-102.4	-102.4
0.804	4	2.4	-102.4	-102.4	-102.4
0.806	3.2	2.4	-102.4	-102.4	-102.4
0.808	3.2	3.2	-102.4	-102.4	-102.4
0.81	3.2	1.6	-102.4	-102.4	-102.4
0.812	3.2	2.4	-102.4	-102.4	-102.4
0.814	4	3.2	-102.4	3.2	-102.4
0.816	4	3.2	-102.4	3.2	-102.4
0.818	4	3.2	-102.4	3.2	-102.4
0.82	4	3.2	-102.4	3.2	-102.4
0.822	4	4	-102.4	2.4	-102.4
0.824	3.2	2.4	-102.4	4	-102.4
0.826	4	3.2	-102.4	3.2	-102.4
0.828	3.2	3.2	-102.4	3.2	-102.4
0.83	4	3.2	-102.4	3.2	-102.4
0.832	4	3.2	-102.4	2.4	-102.4
0.834	3.2	2.4	3.2	3.2	-102.4
0.836	3.2	3.2	3.2	3.2	-102.4
0.838	3.2	3.2	4	3.2	-102.4
0.84	4	4	2.4	2.4	-102.4
0.842	4	3.2	3.2	2.4	-102.4
0.844	3.2	2.4	3.2	3.2	-102.4
0.846	3.2	4	3.2	3.2	-102.4
0.848	3.2	3.2	4	3.2	-102.4
0.85	4	3.2	3.2	3.2	-102.4
0.852	3.2	3.2	2.4	3.2	-102.4
0.854	4	2.4	3.2	3.2	-102.4
0.856	3.2	3.2	3.2	3.2	-102.4
0.858	3.2	3.2	3.2	3.2	-102.4
0.86	3.2	4	2.4	2.4	-102.4
0.862	3.2	3.2	3.2	3.2	-102.4
0.864	4	2.4	4	3.2	-102.4
0.866	4	4	3.2	2.4	-102.4
0.868	3.2	3.2	3.2	3.2	-102.4
0.87	4	3.2	3.2	3.2	-102.4
0.872	4	3.2	3.2	3.2	-102.4
0.874	4	3.2	3.2	3.2	-102.4
0.876	4	2.4	2.4	3.2	-102.4
0.878	3.2	2.4	3.2	2.4	-102.4
0.88	3.2	3.2	3.2	3.2	-102.4
0.882	3.2	4	2.4	4	-102.4
0.884	4	3.2	3.2	3.2	-102.4
0.886	3.2	2.4	3.2	3.2	-102.4
0.888	4	3.2	3.2	2.4	-102.4
0.89	4	2.4	3.2	2.4	-102.4
0.892	3.2	3.2	3.2	2.4	-102.4
0.894	3.2	2.4	3.2	3.2	-102.4
0.896	4	3.2	3.2	3.2	-102.4
0.898	4	1.6	2.4	2.4	-102.4
0.9	4	3.2	3.2	3.2	-102.4
0.902	3.2	2.4	2.4	3.2	-102.4
0.904	4	2.4	3.2	3.2	-102.4
0.906	3.2	3.2	3.2	2.4	-102.4
0.908	4	4	3.2	3.2	-102.4
0.91	3.2	2.4	2.4	3.2	-102.4
0.912	3.2	3.2	3.2	3.2	-102.4
0.914	3.2	3.2	2.4	2.4	-102.4
0.916	4	2.4	2.4	3.2	-102.4
0.918	4	2.4	2.4	2.4	-102.4
0.92	4	2.4	2.4	3.2	-102.4
0.922	3.2	4	3.2	3.2	-102.4
0.924	4	3.2	2.4	3.2	-102.4
0.926	3.2	3.2	3.2	3.2	-102.4
0.928	3.2	2.4	3.2	3.2	-102.4
0.93	4	2.4	4	3.2	-102.4
0.932	4	3.2	2.4	2.4	-102.4
0.934	3.2	3.2	3.2	4	4
0.936	3.2	3.2	2.4	3.2	3.2
0.938	3.2	3.2	3.2	3.2	4
0.94	3.2	3.2	3.2	3.2	2.4
0.942	4	3.2	3.2	2.4	3.2
0.944	3.2	3.2	3.2	2.4	3.2
0.946	3.2	3.2	2.4	3.2	2.4
0.948	3.2	3.2	3.2	2.4	3.2
0.95	4	1.6	3.2	3.2	1.6
0.952	4	3.2	4	3.2	3.2
0.954	3.2	2.4	3.2	3.2	3.2
0.956	4	3.2	3.2	4	3.2
0.958	3.2	1.6	4	4	3.2
0.96	2.4	3.2	2.4	2.4	3.2
