Time	1st	2nd	3rd	4th	5th
0.248	3.2	4	-102.4	-102.4	3.2
0.25	1.6	3.2	-102.4	-102.4	2.4
0.252	3.2	3.2	-102.4	-102.4	2.4
0.254	3.2	3.2	-102.4	-102.4	3.2
0.256	3.2	3.2	-102.4	-102.4	3.2
0.258	3.2	3.2	-102.4	-102.4	3.2
0.26	3.2	3.2	-102.4	-102.4	3.2
0.262	2.4	3.2	-102.4	-102.4	3.2
0.264	3.2	4	-102.4	-102.4	3.2
0.266	3.2	3.2	-102.4	-102.4	-102.4
0.268	3.2	4	-102.4	-102.4	-102.4
0.27	2.4	3.2	-102.4	-102.4	-102.4
0.272	3.2	3.2	-102.4	-102.4	-102.4
0.274	3.2	4	-102.4	-102.4	-102.4
0.276	3.2	3.2	-102.4	-102.4	-102.4
0.278	4	3.2	-102.4	-102.4	-102.4
0.28	3.2	3.2	-102.4	-102.4	-102.4
0.282	3.2	3.2	-102.4	-102.4	-102.4
0.284	2.4	4	-102.4	-102.4	-102.4
0.286	3.2	3.2	-102.4	-102.4	-102.4
0.288	3.2	3.2	-102.4	-102.4	-102.4
0.29	2.4	3.2	-102.4	-102.4	-102.4
0.292	3.2	4	-102.4	-102.4	-102.4
0.294	3.2	4	-102.4	-102.4	-102.4
0.296	3.2	3.2	-102.4	-102.4	-102.4
0.298	3.2	3.2	-102.4	-102.4	-102.4
0.3	3.2	4	-102.4	-102.4	-102.4
0.302	3.2	4	-102.4	-102.4	-102.4
0.304	3.2	4	-102.4	-102.4	-102.4
0.306	3.2	2.4	-102.4	-102.4	-102.4
0.308	3.2	3.2	-102.4	-102.4	-102.4
0.31	2.4	3.2	-102.4	-102.4	-102.4
0.312	3.2	3.2	-102.4	-102.4	-102.4
0.314	3.2	4	-102.4	-102.4	-102.4
0.316	3.2	4	-102.4	-102.4	-102.4
0.318	3.2	3.2	-102.4	-102.4	-102.4
0.32	2.4	3.2	-102.4	-102.4	-102.4
0.322	3.2	4	-102.4	-102.4	-102.4
0.324	3.2	3.2	-102.4	-102.4	-102.4
0.326	3.2	3.2	-102.4	-102.4	-102.4
0.328	3.2	4	-102.4	-102.4	-102.4
0.33	3.2	3.2	-102.4	-102.4	-102.4
0.332	3.2	4	-102.4	-102.4	-102.4
0.334	3.2	4	-102.4	-102.4	-102.4
0.336	3.2	3.2	-102.4	-102.4	-102.4
0.338	3.2	3.2	-102.4	-102.4	-102.4
0.34	3.2	3.2	-102.4	-102.4	-102.4
0.342	3.2	4.8	-102.4	-102.4	-102.4
0.344	3.2	4	-102.4	-102.4	-102.4
0.346	2.4	4	-102.4	-102.4	-102.4
0.348	3.2	3.2	-102.4	-102.4	-102.4
0.35	2.4	3.2	-102.4	-102.4	-102.4
0.352	3.2	4	-102.4	-102.4	-102.4
0.354	2.4	4	-102.4	-102.4	-102.4
0.356	3.2	3.2	-102.4	-102.4	-102.4
0.358	3.2	3.2	-102.4	-102.4	-102.4
0.36	2.4	3.2	-102.4	-102.4	-102.4
0.362	3.2	4	-102.4	-102.4	-102.4
0.364	3.2	4	-102.4	-102.4	-102.4
0.366	3.2	4	-102.4	-102.4	-102.4
0.368	2.4	3.2	-102.4	-102.4	-102.4
0.37	3.2	4	-102.4	-102.4	-102.4
0.372	3.2	3.2	-102.4	-102.4	-102.4
0.374	3.2	4	-102.4	-102.4	-102.4
0.376	3.2	3.2	-102.4	-102.4	-102.4
0.378	3.2	4	-102.4	-102.4	-102.4
0.38	2.4	4	-102.4	-102.4	-102.4
0.382	3.2	3.2	-102.4	-102.4	-102.4
0.384	3.2	4	-102.4	-102.4	-102.4
0.386	3.2	3.2	-102.4	-102.4	-102.4
0.388	3.2	3.2	-102.4	-102.4	-102.4
0.39	2.4	4	-102.4	-102.4	-102.4
0.392	2.4	3.2	-102.4	-102.4	-102.4
0.394	3.2	3.2	-102.4	-102.4	-102.4
0.396	3.2	3.2	-102.4	-102.4	-102.4
0.398	3.2	4	-102.4	-102.4	-102.4
0.4	3.2	3.2	-102.4	-102.4	-102.4
0.402	2.4	3.2	-102.4	-102.4	-102.4
0.404	3.2	2.4	-102.4	-102.4	-102.4
0.406	3.2	4	-102.4	-102.4	-102.4
0.408	3.2	3.2	-102.4	-0.8	-102.4
0.41	3.2	3.2	-102.4	-0.8	-102.4
0.412	3.2	3.2	3.2	-1.6	-102.4
0.414	2.4	4	3.2	-1.6	-102.4
0.416	2.4	4	2.4	-0.8	-102.4
0.418	3.2	3.2	3.2	-1.6	-102.4
0.42	3.2	3.2	3.2	-0.8	-102.4
0.422	3.2	3.2	3.2	-2.4	-102.4
0.424	2.4	3.2	2.4	-1.6	-102.4
0.426	3.2	4	4	-0.8	-102.4
0.428	3.2	3.2	3.2	-0.8	-102.4
0.43	3.2	3.2	3.2	-0.8	-102.4
0.432	3.2	3.2	3.2	-0.8	-102.4
0.434	3.2	3.2	3.2	-1.6	-102.4
0.436	3.2	3.2	3.2	-0.8	-102.4
0.438	3.2	4	2.4	-0.8	-102.4
0.44	2.4	3.2	3.2	-0.8	-102.4
0.442	3.2	3.2	2.4	-0.8	-102.4
0.444	3.2	4	3.2	-1.6	-102.4
0.446	3.2	4	4	-0.8	-102.4
0.448	2.4	3.2	3.2	-1.6	-102.4
0.45	3.2	4	3.2	-0.8	-102.4
0.452	3.2	3.2	2.4	-0.8	-102.4
0.454	3.2	3.2	3.2	-0.8	-102.4
0.456	3.2	4	3.2	-0.8	-102.4
0.458	2.4	3.2	3.2	-0.8	-102.4
0.46	3.2	4	3.2	-0.8	-102.4
0.462	3.2	3.2	3.2	-0.8	-102.4
0.464	3.2	3.2	3.2	-0.8	-102.4
0.466	3.2	3.2	3.2	-0.8	-102.4
0.468	3.2	3.2	3.2	-0.8	-102.4
0.47	2.4	3.2	3.2	-1.6	-102.4
0.472	3.2	3.2	3.2	-1.6	-102.4
0.474	3.2	3.2	3.2	-0.8	-102.4
0.476	3.2	4	2.4	-0.8	-102.4
0.478	2.4	3.2	3.2	-1.6	-102.4
0.48	3.2	3.2	3.2	-0.8	-102.4
0.482	2.4	3.2	3.2	-0.8	-102.4
0.484	2.4	3.2	3.2	-2.4	-102.4
0.486	3.2	3.2	3.2	-0.8	-102.4
0.488	3.2	3.2	3.2	-1.6	-102.4
0.49	3.2	4	3.2	-0.8	-102.4
0.492	2.4	3.2	2.4	-0.8	-102.4
0.494	2.4	3.2	3.2	-2.4	-102.4
0.496	3.2	3.2	3.2	-0.8	-102.4
0.498	3.2	4	3.2	-0.8	-102.4
