Time	1st	2nd	3rd	4th	5th
0.622	-102.4	2.4	-102.4	2.4	3.2
0.624	-102.4	2.4	-102.4	2.4	2.4
0.626	-102.4	2.4	-102.4	3.2	3.2
0.628	-102.4	2.4	-102.4	2.4	2.4
0.63	-102.4	2.4	-102.4	2.4	2.4
0.632	-102.4	2.4	-102.4	3.2	4
0.634	-102.4	2.4	-102.4	3.2	2.4
0.636	-102.4	3.2	-102.4	1.6	2.4
0.638	-102.4	2.4	-102.4	2.4	2.4
0.64	-102.4	2.4	-102.4	3.2	3.2
0.642	-102.4	2.4	-102.4	2.4	3.2
0.644	-102.4	4	-102.4	2.4	3.2
0.646	-102.4	2.4	-102.4	3.2	2.4
0.648	-102.4	3.2	-102.4	2.4	2.4
0.65	-102.4	3.2	-102.4	3.2	2.4
0.652	-102.4	3.2	-102.4	3.2	2.4
0.654	-102.4	2.4	-102.4	2.4	3.2
0.656	-102.4	2.4	-102.4	2.4	3.2
0.658	-102.4	2.4	-102.4	2.4	4
0.66	-102.4	2.4	-102.4	2.4	2.4
0.662	-102.4	2.4	-102.4	3.2	2.4
0.664	-102.4	2.4	-102.4	3.2	2.4
0.666	-102.4	3.2	-102.4	3.2	4
0.668	-102.4	1.6	-102.4	2.4	2.4
0.67	-102.4	3.2	-102.4	1.6	3.2
0.672	-102.4	2.4	-102.4	2.4	3.2
0.674	-102.4	3.2	-102.4	1.6	3.2
0.676	-102.4	3.2	-102.4	3.2	4
0.678	-102.4	2.4	-102.4	2.4	2.4
0.68	-102.4	3.2	-102.4	3.2	2.4
0.682	-102.4	2.4	-102.4	2.4	2.4
0.684	-102.4	2.4	-102.4	3.2	2.4
0.686	-102.4	3.2	-102.4	3.2	2.4
0.688	-102.4	3.2	-102.4	2.4	3.2
0.69	-102.4	2.4	-102.4	3.2	2.4
0.692	-102.4	1.6	-102.4	2.4	3.2
0.694	-102.4	1.6	-102.4	3.2	3.2
0.696	-102.4	3.2	-102.4	3.2	2.4
0.698	-102.4	2.4	-102.4	3.2	3.2
0.7	-102.4	2.4	-102.4	2.4	3.2
0.702	-102.4	2.4	-102.4	3.2	2.4
0.704	-102.4	2.4	-102.4	3.2	2.4
0.706	-102.4	3.2	-102.4	3.2	2.4
0.708	-102.4	2.4	-102.4	3.2	3.2
0.71	-102.4	2.4	-102.4	3.2	3.2
0.712	-102.4	3.2	-102.4	3.2	2.4
0.714	-102.4	2.4	-102.4	2.4	3.2
0.716	-102.4	2.4	-102.4	2.4	2.4
0.718	-102.4	2.4	-102.4	3.2	3.2
0.72	-102.4	2.4	-102.4	2.4	3.2
0.722	-102.4	3.2	-102.4	2.4	3.2
0.724	-102.4	3.2	-102.4	2.4	2.4
0.726	-102.4	2.4	-102.4	3.2	2.4
0.728	-102.4	3.2	-102.4	2.4	3.2
0.73	-102.4	3.2	-102.4	2.4	3.2
