Time	1st	2nd	3rd	4th	5th
0.676	2.4	4	4	4	4
0.678	2.4	4	4.8	4	4
0.68	2.4	4.8	4	4	3.2
0.682	2.4	4	4	4.8	4
0.684	2.4	4	4	4.8	4
0.686	3.2	4	4.8	4	4
0.688	2.4	4	4	4	4
0.69	3.2	4.8	4	4	4
0.692	3.2	4	4	4	4.8
0.694	1.6	4	4	4	4
0.696	3.2	4	4	4	4
0.698	2.4	4	4	4	3.2
0.7	3.2	4	4.8	5.6	4
0.702	2.4	4	4	4	4
0.704	4	4.8	4	4.8	4
0.706	3.2	4	4.8	4.8	4
0.708	2.4	4	4	4.8	4
0.71	2.4	4	4	4	4
0.712	3.2	4	4	4	4
0.714	2.4	4	4	4	4
0.716	2.4	4	4.8	4	4
0.718	3.2	4	4	3.2	4
0.72	2.4	4.8	4	4	4
0.722	2.4	4	4.8	4.8	4
0.724	2.4	4.8	4.8	4.8	4
0.726	3.2	4	4	4	4
0.728	3.2	4.8	4	4	4
0.73	2.4	4.8	4	4	4
0.732	2.4	4.8	4	4.8	4
0.734	2.4	4.8	4	4.8	3.2
0.736	2.4	4.8	4.8	4	3.2
0.738	2.4	4	4	4.8	4
0.74	2.4	4	4	4.8	4
0.742	3.2	4	4	4	4
0.744	3.2	4.8	4	4	4
0.746	2.4	4	4	4	4
0.748	2.4	4	4	4	4
0.75	2.4	4	4	4	4
0.752	3.2	4	3.2	4	4
0.754	3.2	4	4	4	4
0.756	3.2	5.6	4.8	4.8	3.2
0.758	2.4	4	4	4	4
0.76	2.4	4	4	4.8	3.2
0.762	2.4	4	4	4.8	4
0.764	2.4	4	4	4.8	4
0.766	2.4	4.8	4	4	4
0.768	2.4	4	4	4	4
0.77	3.2	4	4	4.8	4
0.772	2.4	3.2	4	3.2	4
0.774	3.2	4.8	4	4	4
0.776	2.4	4.8	4	4	3.2
0.778	2.4	4	4.8	4	4
0.78	2.4	4	4	4	3.2
0.782	3.2	4	4	4	4.8
0.784	3.2	4.8	4	4.8	3.2
0.786	2.4	4	4	4	4
0.788	3.2	4.8	4	4	4
0.79	2.4	4	4	4.8	4
0.792	2.4	4	4	4	4
0.794	2.4	4	4	4.8	4.8
0.796	2.4	4	4.8	4	4
0.798	3.2	4.8	4.8	4.8	4
0.8	2.4	4.8	4	4	4
0.802	2.4	4	4	4.8	4.8
0.804	3.2	4.8	4	4	3.2
0.806	3.2	4	3.2	4	4
0.808	2.4	5.6	4	4	4
0.81	2.4	4	4	4	3.2
0.812	3.2	4.8	4	4	4
0.814	2.4	4	4	4	4
0.816	3.2	4.8	4	4	4
0.818	2.4	4.8	5.6	4.8	4
0.82	3.2	3.2	4.8	4	4
0.822	1.6	4	4	4.8	4
0.824	1.6	4.8	4	4	4
0.826	3.2	4	4	4	4
0.828	3.2	4	4	4	4
0.83	3.2	4	4	4	4.8
0.832	4	4	4	4	4
